Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,MeanRoomsSquare,AreaRatio,MonthSale,AgeBuilding,WeekdaySale
Abbotsford,138/56 Nicholson St,3,u,1090000.0,S,Jellis,2017-03-18,2.5,3067,3,2,2,4290.0,27.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,3.375,-0.9874913134120917,3,47,5
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,0.0,60.0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019,12.0,1.0,6,46,5
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,Yarra,-37.8079,144.9977,Northern Metropolitan,4019,22.5,0.04247104247104247,6,3,5
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,Yarra,-37.808,144.994,Northern Metropolitan,4019,17.0,-0.2672413793103448,11,116,5
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,0.0,126.0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019,42.0,1.0,8,46,0
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019,19.333333333333332,0.023529411764705882,8,4,0
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019,16.666666666666668,1.0,8,46,0
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,Yarra,-37.8005,144.9952,Northern Metropolitan,4019,21.333333333333332,0.13274336283185842,8,96,0
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,0.0,126.0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019,11.454545454545455,1.0,9,46,5
Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,Yarra,-37.805,144.9943,Northern Metropolitan,4019,2.25,-0.7818181818181819,2,47,5
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,Yarra,-37.8007,144.9958,Northern Metropolitan,4019,17.714285714285715,-0.1506849315068493,2,67,5
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,0.0,50.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019,16.666666666666668,1.0,7,3,1
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,Yarra,-37.8016,144.9956,Northern Metropolitan,4019,18.2,-0.28063241106719367,11,116,6
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,Yarra,-37.8022,144.9954,Northern Metropolitan,4019,16.0,0.03225806451612903,11,18,6
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,Yarra,-37.8021,144.9976,Northern Metropolitan,4019,16.4,-0.3787878787878788,5,116,5
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,Yarra,-37.8086,144.9946,Northern Metropolitan,4019,16.2,-0.35968379446640314,7,86,5
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042,3,2,1,303.0,225.0,Moonee Valley,-37.718,144.878,Western Metropolitan,3464,28.125,-0.14772727272727273,9,0,5
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,18.125,1.0,12,51,5
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,0.0,145.0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464,18.125,1.0,3,52,5
Airport West,23 Hart St,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464,16.8,-0.5280898876404494,3,67,5
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464,16.75,-0.28150134048257375,3,8,5
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,2017-03-04,13.5,3042,2,1,1,290.0,116.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464,19.333333333333332,-0.42857142857142855,3,37,5
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464,17.2,-0.3228346456692913,3,6,5
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,126.0,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464,21.0,-0.6621983914209115,8,46,5
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,2016-08-06,13.5,3042,3,1,2,597.0,127.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464,15.875,-0.649171270718232,8,46,5
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042,6,3,2,976.0,186.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464,12.4,-0.6798623063683304,5,36,5
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464,18.0,-0.1,5,1,5
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464,14.6,-0.3177570093457944,11,3,0
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464,18.8,-0.12149532710280374,9,4,5
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042,3,1,6,1063.0,133.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464,19.0,-0.7775919732441472,9,41,5
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,0.0,105.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,15.0,1.0,12,66,5
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464,18.571428571428573,-0.34177215189873417,2,24,5
Airport West,145a Victory Rd,2,u,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,126.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464,25.2,-0.20754716981132076,8,46,5
Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,2016-05-14,13.5,3042,3,2,2,596.0,126.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464,12.6,-0.6509695290858726,5,46,5
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464,16.625,-0.10738255033557047,10,7,5
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464,16.142857142857142,-0.7915129151291513,4,56,5
Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,126.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464,25.2,-0.1310344827586207,7,13,5
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,126.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464,15.75,-0.6781609195402298,7,46,5
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464,20.0,-0.7191011235955056,7,41,5
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464,21.75,-0.5572519083969466,7,66,5
Airport West,75 King St,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,126.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464,18.0,-0.7203107658157603,9,46,5
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464,25.75,-0.2642857142857143,9,36,5
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464,21.333333333333332,-0.4859437751004016,3,37,5
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464,15.75,-0.5401459854014599,3,22,5
Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,126.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464,18.0,-0.6594594594594595,3,47,5
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464,14.428571428571429,-0.22900763358778625,6,6,5
Airport West,37 North St,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464,12.75,-0.4835443037974684,11,56,5
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464,16.142857142857142,-0.6734104046242775,5,41,6
Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,126.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464,18.0,-0.6635514018691588,8,46,0
Airport West,2/13 North St,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464,15.2,-0.2995391705069124,8,46,0
Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,126.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464,15.75,-0.25443786982248523,8,46,0
Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,126.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464,18.0,-0.6585365853658537,4,46,5
Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,126.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464,11.454545454545455,-0.6170212765957447,9,46,5
Airport West,33 North St,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,126.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464,18.0,-0.6455696202531646,2,47,5
Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,2016-11-27,13.5,3042,4,1,2,509.0,126.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464,14.0,-0.6031496062992125,11,46,6
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464,14.6,-0.6227390180878553,11,41,6
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280,16.4,-0.18811881188118812,9,116,5
Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,126.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280,25.2,-0.11578947368421053,9,46,5
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211.0,198.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280,24.75,-0.03178484107579462,3,127,5
Albert Park,94 Graham St,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280,16.625,0.019157088122605363,3,127,5
Albert Park,396 Montague St,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280,16.2,-0.23222748815165878,3,117,5
Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,126.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280,31.5,-0.07692307692307693,8,116,5
Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,2016-05-07,3.3,3206,2,1,1,167.0,126.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280,25.2,-0.13993174061433447,5,46,5
Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,2016-05-07,3.3,3206,4,2,1,153.0,180.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280,18.0,0.08108108108108109,5,136,5
Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,126.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280,15.75,-0.7014218009478673,11,46,0
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280,19.875,0.09278350515463918,11,20,0
Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,2016-09-10,3.3,3206,2,1,1,199.0,107.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280,21.4,-0.3006535947712418,9,116,5
Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,126.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280,18.0,-0.33509234828496043,9,46,5
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280,15.25,0.1509433962264151,9,116,5
Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,126.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,25.2,-0.3114754098360656,12,46,5
Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177.0,181.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,22.625,0.0111731843575419,12,136,5
Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,2016-12-10,3.3,3206,5,2,1,237.0,126.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,10.5,-0.30578512396694213,12,46,5
Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,126.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280,18.0,-0.011764705882352941,12,46,5
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,0.0,85.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280,10.625,1.0,6,16,6
Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,126.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280,25.2,-0.391304347826087,11,46,5
Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,126.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280,15.75,-0.288135593220339,10,46,5
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280,19.6,-0.20647773279352227,10,126,5
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280,16.6,-0.25892857142857145,10,126,5
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280,18.375,-0.1787709497206704,4,116,5
Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,126.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280,18.0,-0.24776119402985075,3,117,5
Albert Park,97 Page St,3,h,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280,18.25,-0.0034129692832764505,3,127,5
Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280,23.09090909090909,-0.12564543889845095,6,106,5
Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,0.0,126.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280,25.2,1.0,5,46,6
Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280,20.5,0.012345679012345678,4,116,5
Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280,18.714285714285715,-0.2899728997289973,9,126,5
Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,0.0,34.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280,11.333333333333334,1.0,2,47,5
Albert Park,115 Page St,4,h,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280,20.7,-0.22905027932960895,2,107,5
Albert Park,32 Page St,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,126.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280,25.2,-0.03816793893129771,2,47,5
Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,126.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280,18.0,-0.23170731707317074,2,47,5
Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,14.0,1.0,7,46,1
Albert Park,22 Greig St,3,h,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,126.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280,15.75,-0.44124168514412415,7,46,1
Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280,16.11111111111111,-0.11585365853658537,6,136,0
Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,126.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280,25.2,-0.125,11,46,6
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280,13.6,-0.07482993197278912,5,126,5
Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,126.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280,15.75,-0.09352517985611511,8,46,6
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280,16.75,-0.046263345195729534,8,126,6
Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,0.0,126.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280,14.0,1.0,7,46,5
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280,18.0,-0.2,7,116,5
Alphington,6 Smith St,4,h,2000000.0,S,Brace,2016-09-03,6.4,3078,3,2,4,853.0,263.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211,29.22222222222222,-0.5286738351254481,9,86,5
Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,2016-09-03,6.4,3078,3,2,2,208.0,126.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211,15.75,-0.24550898203592814,9,3,5
Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,2017-03-04,6.4,3078,3,2,2,411.0,126.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211,15.75,-0.5307262569832403,3,47,5
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,2016-10-08,6.4,3078,4,2,1,599.0,203.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211,20.3,-0.4937655860349127,10,91,5
Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,2016-06-12,6.4,3078,5,4,4,809.0,165.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211,11.785714285714286,-0.6611909650924025,6,106,6
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,2016-11-12,6.4,3078,2,1,1,88.0,60.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211,12.0,-0.1891891891891892,11,56,5
